timestamp,frame_number,overall_score,arm_score,arm_angle,hand_position_score,depth_score,depth_cm,rate_score,rate_cpm,recoil_score,compression_ratio,ratio_score,compression_count,fatigue_level,feedback_given
2025-11-19T08:45:20.966915,10,23,0,34,0,10,0.9,0,0,100,50,100,0,0,
2025-11-19T08:45:21.577263,20,21,0,38,0,12,1.0,0,0,70,50,100,0,0,
2025-11-19T08:45:22.127892,30,41,0,33,0,89,8.9,0,0,46,50,100,0,0,
2025-11-19T08:45:22.694378,40,41,0,30,0,88,9.0,0,0,43,50,100,0,0,
2025-11-19T08:45:23.247062,50,41,0,21,0,90,8.8,0,0,40,50,100,1,0,
2025-11-19T08:45:23.789947,60,43,0,19,0,97,8.2,0,0,40,50,100,1,0,
2025-11-19T08:45:24.344195,70,42,0,20,0,93,8.5,0,0,40,50,100,1,0,
2025-11-19T08:45:24.889972,80,42,0,20,0,91,8.7,0,0,43,50,100,1,0,
2025-11-19T08:45:25.417998,90,42,0,19,0,93,8.6,0,12,40,50,100,1,0,
2025-11-19T08:45:25.994675,100,41,0,27,0,91,8.7,0,11,40,50,100,1,0,Speed up compressions to 100-120 per minute
2025-11-19T08:45:26.537404,110,44,100,169,0,50,84.4,0,10,40,50,100,1,0,
2025-11-19T08:45:27.081602,120,34,0,27,0,68,10.6,0,9,40,50,100,1,0,
2025-11-19T08:45:27.618259,130,34,0,26,0,67,10.7,0,8,40,50,100,1,0,
2025-11-19T08:45:28.177054,140,33,0,22,0,62,11.0,0,15,40,50,100,2,0,
2025-11-19T08:45:28.720278,150,35,0,25,0,63,10.9,0,14,64,50,100,2,0,
2025-11-19T08:45:29.270027,160,36,0,21,0,62,11.1,0,15,70,50,100,2,0,
2025-11-19T08:45:29.834736,170,31,0,21,0,58,11.3,0,15,40,50,100,2,0,
2025-11-19T08:45:30.379027,180,32,0,20,0,60,11.2,0,15,40,50,100,2,0,
2025-11-19T08:45:30.930281,190,33,0,17,0,63,11.0,0,15,40,50,100,2,0,
2025-11-19T08:45:31.526458,200,32,0,23,0,61,11.1,0,15,40,50,100,2,0,Speed up compressions to 100-120 per minute
2025-11-19T08:45:32.070633,210,35,0,19,0,69,10.5,0,15,40,50,100,2,0,
2025-11-19T08:45:32.602147,220,31,0,22,0,55,11.6,0,15,49,50,100,2,0,
2025-11-19T08:45:33.141223,230,33,0,22,0,64,10.9,0,15,40,50,100,2,0,
2025-11-19T08:45:33.670202,240,32,0,17,0,59,11.2,0,15,40,50,100,2,0,
2025-11-19T08:45:34.213393,250,31,0,13,0,57,11.4,0,15,40,50,100,2,0,
2025-11-19T08:45:34.755926,260,37,56,156,0,50,40.6,0,15,40,50,100,2,0,
2025-11-19T08:45:35.301570,270,24,0,11,0,50,73.5,0,29,40,15,50,4,0,
2025-11-19T08:45:35.845964,280,30,31,148,0,50,368.9,3.3653500999074453,37,43,16,50,5,0,
2025-11-19T08:45:36.434432,290,27,0,107,0,50,65.3,6.943025511495975,44,52,15,50,6,0,
2025-11-19T08:45:37.001256,300,26,0,109,0,50,57.1,6.881106029275465,44,40,15,50,6,0,Speed up compressions to 100-120 per minute
2025-11-19T08:45:37.541933,310,41,100,170,0,50,697.8,6.940958710179494,44,46,16,50,6,0,
2025-11-19T08:45:38.109654,320,37,49,152,20,50,9362.0,14.202014786016665,58,40,22,50,8,0,
2025-11-19T08:45:38.644064,330,32,0,125,0,50,11840.5,17.895082957205766,66,40,56,85,9,0,
2025-11-19T08:45:39.184412,340,36,20,141,0,50,966.0,17.500953321471883,65,40,52,100,9,0,
2025-11-19T08:45:39.759080,350,34,0,127,0,50,3476.7,21.19934537501006,72,40,50,100,10,0,
2025-11-19T08:45:40.301946,360,40,11,135,0,50,67.4,50,87,40,36,70,12,0,
2025-11-19T08:45:40.832112,370,44,27,146,0,50,76.7,50,87,58,36,70,12,0,
2025-11-19T08:45:41.388507,380,46,0,122,0,50,1901.0,81.9208208844056,94,40,38,70,13,0,
2025-11-19T08:45:41.958423,390,54,48,151,0,50,3989.4,80.57062572174674,94,55,31,63,13,0,
2025-11-19T08:45:43.036833,410,64,100,161,0,50,70.0,100,107,40,27,54,15,0,
2025-11-19T08:45:44.676193,440,53,31,148,1,50,230.8,89.55538166720149,125,40,36,70,19,0,
2025-11-19T08:45:46.307526,470,48,0,74,0,50,285.9,88.01627892708314,126,40,39,70,20,0,
2025-11-19T08:45:47.420354,490,46,0,72,0,50,409.3,82.0506139998871,129,40,31,62,21,0,
2025-11-19T08:45:47.982229,500,42,0,25,0,50,124.7,69.59645192617455,135,40,27,55,22,0,Push deeper for adequate chest compression
2025-11-19T08:45:48.527160,510,43,1,128,0,50,392.7,69.84806738611786,135,52,24,50,22,0,
2025-11-19T08:45:49.060941,520,40,52,153,0,50,66.8,23.408459719411965,143,67,20,50,23,0,
2025-11-19T08:45:49.617422,530,46,100,172,0,50,163.9,20.306955285638608,149,55,23,50,24,0,
2025-11-19T08:45:50.164170,540,44,100,174,0,50,223.4,17.27631395395207,155,43,21,50,25,0,
2025-11-19T08:45:50.749138,550,29,0,11,0,50,115.3,14.568967011412255,161,43,30,60,26,0,
2025-11-19T08:45:51.309170,560,33,30,148,0,50,234.8,11.990652431339072,166,46,29,57,27,0,
2025-11-19T08:45:51.851004,570,37,48,152,0,50,51.2,13.120458033708843,164,58,29,57,27,0,
2025-11-19T08:45:53.001656,590,31,16,138,0,50,67.4,10.707747747730494,169,49,32,63,28,0,
2025-11-19T08:45:53.552978,600,31,25,144,0,50,139.4,4.380148400180531,181,43,36,70,29,0,Slow down compressions to 100-120 per minute
2025-11-19T08:45:54.104571,610,26,0,110,0,50,57.5,0,193,40,33,66,30,0,
2025-11-19T08:45:54.663627,620,27,0,123,0,50,38.6,0,197,67,29,57,30,0,
2025-11-19T08:45:55.190065,630,28,23,143,0,50,32.8,0,211,46,22,50,31,0,
2025-11-19T08:45:55.762938,640,27,19,140,0,50,38.3,0,227,40,25,50,33,0,
2025-11-19T08:45:56.320002,650,27,23,143,0,50,46.2,0,230,40,24,50,33,0,
2025-11-19T08:45:56.864454,660,34,59,157,0,50,42.9,0,237,49,23,50,34,0,
2025-11-19T08:45:57.410124,670,31,48,151,0,50,21.3,0,237,40,22,50,34,0,
2025-11-19T08:45:58.003613,680,24,0,109,0,50,25.4,0,236,43,21,50,34,0,
2025-11-19T08:45:58.552413,690,24,0,121,0,50,61.6,0,243,40,24,50,35,0,
2025-11-19T08:45:59.114999,700,26,9,133,0,50,40.9,0,250,40,30,60,36,0,Slow down compressions to 100-120 per minute
2025-11-19T08:45:59.670935,710,26,0,118,0,50,96.0,0,257,40,33,65,37,0,
2025-11-19T08:46:00.223260,720,40,100,170,0,50,179.6,0,271,40,28,57,38,0,
2025-11-19T08:46:00.769358,730,25,0,116,0,50,55.3,0,276,40,28,56,39,0,
2025-11-19T08:46:01.324218,740,25,0,92,0,50,169.1,0,276,40,28,56,39,0,
2025-11-19T08:46:02.419247,760,28,0,81,0,50,79.6,0,268,79,22,50,39,0,
2025-11-19T08:46:03.002246,770,42,100,160,0,50,2372.3,0,265,67,16,50,39,0,
2025-11-19T08:46:03.574142,780,40,100,168,0,50,124.6,0,264,55,16,50,40,10,
2025-11-19T08:46:04.142468,790,24,0,122,0,50,138.6,0,253,43,16,50,40,10,
2025-11-19T08:46:04.693301,800,33,59,178,0,50,137.9,0,259,43,17,50,41,10,Slow down compressions to 100-120 per minute
2025-11-19T08:46:05.229947,810,42,100,174,0,50,129.4,0,260,70,16,50,41,10,
2025-11-19T08:46:07.380011,850,35,63,176,0,50,204.7,0,230,52,15,50,43,10,
2025-11-19T08:46:07.933228,860,39,100,172,0,50,134.4,0,234,40,17,50,44,10,
2025-11-19T08:46:10.660416,910,28,14,137,0,50,578.3,0,201,58,28,55,45,20,
2025-11-19T08:46:11.217236,920,40,100,174,0,50,218.0,0,198,43,28,55,45,20,
2025-11-19T08:46:13.961263,970,26,0,125,0,50,88.9,0.7052209035126822,189,43,31,62,47,30,
2025-11-19T08:46:15.056227,990,30,22,142,9,50,104.9,6.244376054260016,178,40,26,53,47,30,
2025-11-19T08:46:18.861314,1060,34,25,144,0,50,105.7,17.07099547069339,156,40,34,69,49,25,
2025-11-19T08:46:21.716789,1110,49,100,175,0,50,72.0,24.322313131562325,141,49,41,85,50,25,
2025-11-19T08:46:25.500108,1180,61,100,171,0,50,240.9,74.55600256352028,133,40,42,85,52,20,
2025-11-19T08:46:35.639187,1370,49,0,37,0,50,78.0,91.83939023122689,97,40,61,70,53,15,
2025-11-19T08:46:36.193597,1380,51,0,19,0,50,71.5,100,101,40,61,70,54,15,
2025-11-19T08:46:36.759849,1390,51,0,21,0,50,70.7,100,101,43,64,70,54,15,
2025-11-19T08:46:37.344757,1400,51,0,25,0,50,69.7,100,101,40,61,70,54,15,Push deeper for adequate chest compression
2025-11-19T08:46:37.938248,1410,52,0,32,0,50,71.8,100,107,40,59,85,54,15,
