timestamp,frame_number,overall_score,arm_score,arm_angle,hand_position_score,depth_score,depth_cm,rate_score,rate_cpm,recoil_score,compression_ratio,ratio_score,compression_count,fatigue_level,feedback_given
2025-12-14T18:21:13.635809,80,20,0,53,0,0,0,0,0,100,50,100,0,0,
2025-12-14T18:21:14.708835,100,35,0,63,0,50,142.2,0,0,100,50,100,0,0,
2025-12-14T18:21:15.254711,110,29,0,49,0,50,47.6,0,0,40,50,100,1,0,
2025-12-14T18:21:16.898113,140,33,0,115,0,50,204.9,14.689584411337286,59,40,50,100,5,0,
2025-12-14T18:21:18.553860,170,32,0,65,0,50,153.2,16.30105531502786,63,40,42,85,7,0,
2025-12-14T18:21:19.100143,180,41,0,25,100,50,158.9,13.944270232623772,58,40,42,85,7,0,
2025-12-14T18:21:19.670918,190,48,100,171,0,50,173.4,15.670576828970336,61,40,46,100,8,0,
2025-12-14T18:21:20.229732,200,35,0,118,0,50,236.7,17.20069841886007,64,70,44,85,9,0,
2025-12-14T18:21:20.776795,210,34,0,62,0,50,1696.9,15.228480511680008,60,67,44,85,9,0,
2025-12-14T18:21:21.868854,230,33,0,56,0,50,172.1,17.924167651748718,66,64,39,70,11,0,
2025-12-14T18:21:22.416999,240,39,0,15,80,50,180.5,16.21400443412317,62,49,40,70,11,0,
2025-12-14T18:21:22.977047,250,31,0,97,0,50,150.4,14.643666344905217,59,49,35,70,11,0,
2025-12-14T18:21:26.371006,310,29,0,19,0,50,536.6,11.848066869533788,54,58,25,50,13,0,
2025-12-14T18:21:28.558927,350,28,4,130,0,50,175.1,11.923365505134054,54,40,28,56,15,0,
2025-12-14T18:21:29.640653,370,30,0,108,0,50,224.9,17.30714022832627,65,40,33,66,17,0,
2025-12-14T18:21:30.185597,380,30,0,6,0,50,159.2,18.186378147795224,66,40,33,67,17,0,
2025-12-14T18:21:32.458564,420,35,9,134,0,50,53.2,23.697106101730277,77,40,44,85,20,0,
2025-12-14T18:21:33.024878,430,40,0,109,0,50,104.0,50,87,43,41,85,21,0,
2025-12-14T18:21:33.569318,440,39,0,58,0,50,248.1,50,86,43,39,70,21,0,
2025-12-14T18:21:40.765485,570,33,0,118,0,50,114.3,24.6659298296673,79,52,39,70,26,0,
2025-12-14T18:21:41.321018,580,40,0,77,0,50,75.5,50,86,40,42,85,28,0,
2025-12-14T18:21:41.865601,590,40,0,23,0,50,347.4,50,85,40,42,85,28,0,
2025-12-14T18:21:42.426620,600,49,57,179,0,50,98.2,50,87,40,42,85,28,0,Speed up compressions to 100-120 per minute
2025-12-14T18:21:45.188520,650,43,0,111,0,50,116.5,71.90338806939882,91,43,27,54,29,0,
2025-12-14T18:21:45.750267,660,47,0,115,0,50,116.4,75.64032314713707,92,64,31,62,29,0,
2025-12-14T18:21:46.305822,670,48,0,88,0,50,95.1,89.65849846008179,97,43,31,62,29,0,
2025-12-14T18:21:46.854833,680,50,0,69,0,50,61.8,98.56654459052126,100,52,28,56,29,0,
2025-12-14T18:21:47.402604,690,50,0,118,0,50,98.6,100,103,43,27,53,30,0,
2025-12-14T18:21:48.495767,710,65,100,166,0,50,203.2,100,110,49,25,51,32,0,
2025-12-14T18:21:49.035566,720,50,0,53,0,50,216.4,100,109,52,24,50,32,0,
2025-12-14T18:21:49.584834,730,51,0,128,0,50,274.0,100,115,40,39,70,33,0,
2025-12-14T18:21:50.136094,740,52,0,67,15,50,211.6,100,117,40,32,63,34,0,
2025-12-14T18:21:52.850336,790,41,0,75,0,50,118.0,60.50340428197018,140,43,36,70,37,0,
