timestamp,frame_number,overall_score,arm_score,arm_angle,hand_position_score,depth_score,depth_cm,rate_score,rate_cpm,recoil_score,compression_ratio,ratio_score,compression_count,fatigue_level,feedback_given
2025-12-09T22:32:15.060022,60,35,0,31,0,50,62.2,0,0,100,50,100,0,0,
2025-12-09T22:32:16.292381,70,35,0,118,60,50,98.9,0,0,40,50,100,2,0,
2025-12-09T22:32:17.369016,80,39,0,120,100,50,80.1,0,0,52,43,85,3,0,
2025-12-09T22:32:18.643640,90,28,0,120,0,50,68.1,0,0,40,41,85,4,0,
2025-12-09T22:32:20.479965,110,29,0,112,0,50,92.4,7.140013842576096,44,55,36,70,5,0,
2025-12-09T22:32:21.591895,120,28,0,2,0,50,69.3,7.826955152601791,46,43,34,68,6,0,
2025-12-09T22:32:22.858804,130,37,0,125,100,50,126.6,7.941035181049244,46,40,31,61,7,0,
2025-12-09T22:32:24.027311,140,38,1,128,80,50,125.0,5.345108637278642,41,76,28,56,7,0,
2025-12-09T22:32:25.257215,150,40,7,132,80,50,148.2,3.1797253684577527,36,100,28,56,7,0,
2025-12-09T22:32:26.637373,160,35,0,80,80,50,131.4,1.2394301046857947,32,70,22,50,7,0,
2025-12-09T22:32:28.008867,170,29,14,137,0,50,86.5,0,29,67,16,50,7,0,
2025-12-09T22:32:29.421002,180,37,0,119,80,50,137.0,0.2709641923695614,31,91,12,50,8,0,
2025-12-09T22:32:30.938884,190,26,0,106,0,50,83.2,0,28,58,12,50,8,0,
2025-12-09T22:32:32.975667,210,34,11,135,80,50,161.0,0,27,46,9,50,8,0,
