timestamp,frame_number,overall_score,arm_score,arm_angle,hand_position_score,depth_score,depth_cm,rate_score,rate_cpm,recoil_score,compression_ratio,ratio_score,compression_count,fatigue_level,feedback_given
2025-11-18T20:11:32.826970,210,20,0,51,0,0,0,0,0,100,50,100,0,0,
2025-11-18T20:11:33.379081,220,35,0,25,0,50,102.1,0,0,100,50,100,0,0,
2025-11-18T20:11:33.932003,230,29,0,34,0,50,55.0,0,0,40,50,100,1,0,
2025-11-18T20:11:34.483515,240,29,0,33,0,50,84.2,0,0,43,50,100,1,0,
2025-11-18T20:11:35.037068,250,30,0,35,0,50,59.6,0,0,55,50,100,2,0,
2025-11-18T20:11:35.586142,260,26,0,37,22,50,120.6,0,0,40,26,52,3,0,
2025-11-18T20:11:36.151247,270,33,0,122,80,50,172.8,0,0,40,28,56,3,0,
2025-11-18T20:11:36.764622,280,25,0,35,6,50,1193.0,0,0,40,25,50,3,0,
2025-11-18T20:11:37.309151,290,24,0,37,0,50,62.2,0,0,40,27,54,4,0,
2025-11-18T20:11:37.890831,300,26,0,38,0,50,551.1,6.903469743281725,44,40,29,57,4,0,Compression speed.
2025-11-18T20:11:38.447760,310,28,0,37,0,50,621.3,9.852900140218502,50,40,37,70,5,0,
2025-11-18T20:11:38.994403,320,31,0,41,9,50,9678.2,12.346658979402278,55,40,41,85,6,0,
2025-11-18T20:11:39.546456,330,31,0,41,0,50,509.5,10.230546238228513,50,46,41,85,6,0,
2025-11-18T20:11:40.098482,340,31,0,46,6,50,1748.0,8.418486421537938,47,64,34,69,6,0,
2025-11-18T20:11:40.672144,350,27,0,44,0,50,45.7,6.794690318113538,44,46,29,58,6,0,
2025-11-18T20:11:41.230756,360,26,0,35,0,50,597.7,6.5616713293795215,43,40,29,58,6,0,
2025-11-18T20:11:41.818880,370,30,2,129,24,50,136.3,10.057627313058841,50,40,27,54,7,0,
2025-11-18T20:11:42.358115,380,34,0,97,60,50,167.6,13.670340162761086,57,43,28,56,8,0,
2025-11-18T20:11:42.924522,390,29,6,132,0,50,50.0,13.634899884533958,57,40,29,58,8,0,
2025-11-18T20:11:43.469662,400,32,0,32,0,50,774.5,13.658482725658729,57,82,25,50,8,0,Compression speed.
2025-11-18T20:11:44.070627,410,29,0,32,0,50,53.2,20.604598925097477,71,40,26,53,10,0,
2025-11-18T20:11:44.620477,420,30,0,24,0,50,590.9,20.635153402860936,71,40,32,63,10,0,
2025-11-18T20:11:45.191951,430,40,0,36,80,50,410.7,24.413634194961787,79,40,37,70,11,0,
2025-11-18T20:11:45.757915,440,32,0,29,0,50,45.2,24.317789972113786,79,40,34,68,11,0,
2025-11-18T20:11:46.315598,450,47,0,126,80,50,205.2,50,86,49,36,70,12,0,
2025-11-18T20:11:46.886544,460,44,0,117,0,50,54.2,50,86,100,36,70,12,0,
2025-11-18T20:11:47.443540,470,65,60,158,80,50,186.7,78.78649647632179,93,61,39,70,13,0,
2025-11-18T20:11:47.991849,480,60,0,35,80,50,512.5,100,100,46,37,70,14,0,
2025-11-18T20:11:48.543363,490,55,0,119,0,50,50.1,100,100,61,42,85,14,0,
2025-11-18T20:11:49.104073,500,55,0,123,0,50,50.3,100,100,76,38,70,14,0,Arm position.
2025-11-18T20:11:49.649354,510,54,0,102,0,50,49.2,100,100,79,33,66,14,0,
2025-11-18T20:11:50.227216,520,64,0,122,100,50,171.8,100,101,85,25,50,14,0,
2025-11-18T20:11:50.779505,530,54,11,135,0,50,60.8,100,100,76,19,50,14,0,
2025-11-18T20:11:51.381323,540,50,0,116,0,50,44.3,100,100,46,19,50,14,0,
2025-11-18T20:11:51.947563,550,52,0,123,0,50,98.2,99.56156492460447,100,73,15,50,14,0,
2025-11-18T20:11:52.485468,560,49,0,123,0,50,32.8,100,100,40,15,50,14,0,
2025-11-18T20:11:53.057227,570,50,0,101,9,50,118.0,100,100,43,12,50,14,0,
2025-11-18T20:11:53.604484,580,53,0,123,0,50,48.3,100,100,79,12,50,14,0,
2025-11-18T20:11:54.156695,590,53,0,43,0,50,139.1,100,101,76,10,50,14,0,
2025-11-18T20:11:54.730921,600,52,0,5,0,50,150.0,100,100,70,8,50,14,0,"Arm position: Bend your elbow and place the heel of one hand on top, fingers pointing up."
2025-11-18T20:11:55.293785,610,51,0,112,0,50,47.5,100,101,58,7,50,14,0,
2025-11-18T20:11:55.863166,620,54,0,115,0,50,43.3,100,100,94,7,50,14,0,
2025-11-18T20:11:56.426162,630,53,0,120,0,50,43.2,100,100,82,6,50,14,0,
