timestamp,frame_number,overall_score,arm_score,arm_angle,hand_position_score,depth_score,depth_cm,rate_score,rate_cpm,recoil_score,compression_ratio,ratio_score,compression_count,fatigue_level,feedback_given
2025-12-15T16:04:01.936211,60,42,48,151,0,50,68.4,0,0,100,50,100,0,0,
2025-12-15T16:04:02.526236,70,35,0,23,0,50,122.3,0,0,100,50,100,0,0,
2025-12-15T16:04:03.111322,80,34,18,140,12,50,63.2,0,0,55,50,100,1,0,
2025-12-15T16:04:03.658388,90,29,0,116,0,50,126.8,0,0,43,50,100,1,0,
2025-12-15T16:04:04.208795,100,38,55,155,0,50,146.3,0,0,49,50,100,1,0,Focus on proper chest compressions
2025-12-15T16:04:04.753003,110,31,14,137,0,50,45.6,0,0,43,50,100,1,0,
2025-12-15T16:04:05.315052,120,32,4,130,0,50,58.3,0,0,64,50,100,1,0,
2025-12-15T16:04:05.863007,130,53,100,172,60,50,171.8,0,0,67,50,100,1,0,
2025-12-15T16:04:06.425415,140,29,0,126,0,50,82.5,0,23,40,50,100,2,0,
2025-12-15T16:04:07.012176,150,41,19,140,80,50,104.0,0,21,55,50,100,2,0,
2025-12-15T16:04:07.565529,160,36,20,141,0,50,57.2,0,19,76,50,100,2,0,
2025-12-15T16:04:08.111911,170,35,62,158,0,50,131.1,2.6054367782287073,35,55,8,50,4,0,
2025-12-15T16:04:08.667889,180,24,0,98,0,50,65.1,1.279917168889277,33,40,9,50,4,0,
2025-12-15T16:04:09.210241,190,40,100,163,0,50,85.4,0.16415435416616475,30,46,10,50,4,0,
2025-12-15T16:04:09.744711,200,30,31,148,0,50,188.8,0,28,52,11,50,4,0,Focus on proper chest compressions
2025-12-15T16:04:10.291880,210,36,53,154,0,50,94.1,0,28,76,10,50,4,0,
2025-12-15T16:04:10.827545,220,28,0,96,16,50,240.6,0,28,64,10,50,4,0,
2025-12-15T16:04:11.373639,230,26,2,129,0,50,98.6,0,28,61,7,50,4,0,
2025-12-15T16:04:11.913274,240,28,0,112,0,50,200.4,2.936445098585139,36,76,10,50,5,0,
2025-12-15T16:04:14.086867,280,29,12,135,0,50,177.2,2.6315055427836427,35,61,9,50,6,0,
2025-12-15T16:04:14.628049,290,42,100,163,0,50,235.8,5.586348440378217,41,55,8,50,7,0,
2025-12-15T16:04:15.180947,300,37,30,148,20,50,127.9,8.55015171172601,47,79,10,50,8,0,Focus on proper chest compressions
2025-12-15T16:04:15.724805,310,28,0,36,0,50,426.2,8.557830673327267,47,58,11,50,8,0,
2025-12-15T16:04:16.265560,320,37,0,57,100,50,557.5,11.824939345182372,54,40,20,50,9,0,
2025-12-15T16:04:16.838848,330,28,0,123,0,50,461.7,11.845079786367169,54,52,26,53,9,0,
2025-12-15T16:04:17.372517,340,30,0,34,0,50,159.6,11.927863082318485,54,73,23,50,9,0,
2025-12-15T16:04:18.538874,360,29,0,71,0,50,180.8,11.041930084148262,52,58,19,50,9,0,
2025-12-15T16:04:19.078788,370,30,0,110,0,50,2875.4,13.813161040889877,58,61,19,50,10,0,
2025-12-15T16:04:20.172194,390,37,62,176,0,50,221.8,15.25580017099162,61,40,19,50,11,0,
