timestamp,frame_number,overall_score,arm_score,arm_angle,hand_position_score,depth_score,depth_cm,rate_score,rate_cpm,recoil_score,compression_ratio,ratio_score,compression_count,fatigue_level,feedback_given
2025-12-02T20:57:08.119306,150,20,0,94,0,0,0,0,0,100,50,100,0,0,
2025-12-02T20:57:08.788634,160,41,0,123,60,50,198.8,0,0,100,50,100,1,0,
2025-12-02T20:57:09.443551,170,29,0,24,1,50,1508.1,0,0,40,50,100,2,0,
2025-12-02T20:57:10.092288,180,25,2,129,4,50,94.1,0,0,46,20,50,3,0,
2025-12-02T20:57:10.745354,190,33,16,138,13,50,788.3,0,0,91,19,50,3,0,
2025-12-02T20:57:11.405547,200,27,0,127,6,50,108.9,0,0,61,19,50,4,0,Speed up compressions to 100-120 per minute
2025-12-02T20:57:12.064999,210,30,0,111,10,50,2339.8,0,0,91,18,50,4,0,
2025-12-02T20:57:13.362177,230,36,17,139,19,50,557.6,17.345409471464308,65,73,19,50,6,0,
2025-12-02T20:57:14.027385,240,35,0,118,17,50,395.7,18.70710915346082,67,70,31,63,7,0,
2025-12-02T20:57:14.692537,250,32,12,135,4,50,74.9,15.455562820185268,61,43,31,63,7,0,
2025-12-02T20:57:15.342470,260,29,0,30,0,50,205.2,16.808194964895375,64,40,27,55,8,0,
2025-12-02T20:57:16.015230,270,30,0,120,0,50,179.2,14.207820533945931,58,61,28,56,8,0,
2025-12-02T20:57:16.669331,280,30,0,112,0,50,153.4,15.432526384405854,61,40,34,68,9,0,
2025-12-02T20:57:17.322303,290,29,0,119,0,50,256.9,13.34628399311967,57,40,34,68,9,0,
2025-12-02T20:57:17.989545,300,32,2,129,0,50,244.4,15.40058309223857,61,40,44,85,10,0,Speed up compressions to 100-120 per minute
2025-12-02T20:57:18.638639,310,35,14,137,7,50,913.9,15.456836868235872,61,49,40,85,10,0,
2025-12-02T20:57:19.285279,320,34,5,131,3,50,1083.6,18.53069633132425,67,67,38,70,11,0,
2025-12-02T20:57:19.930230,330,32,0,116,0,50,304.8,18.540216639817842,67,55,35,69,11,0,
2025-12-02T20:57:20.566490,340,31,0,121,0,50,591.8,21.651905729889613,73,40,40,70,12,0,
