timestamp,frame_number,overall_score,arm_score,arm_angle,hand_position_score,depth_score,depth_cm,rate_score,rate_cpm,recoil_score,compression_ratio,ratio_score,compression_count,fatigue_level,feedback_given
2025-11-19T08:19:57.098039,50,20,0,17,0,0,0,0,0,100,50,100,0,0,
2025-11-19T08:19:57.747832,60,32,0,20,0,40,3.4,0,0,100,50,100,0,0,
2025-11-19T08:20:15.200209,360,33,0,52,6,50,60.1,0,0,70,50,100,0,0,
2025-11-19T08:20:15.868202,370,32,0,125,0,50,35.4,0,0,70,50,100,0,0,
2025-11-19T08:20:16.534430,380,37,28,146,0,50,101.3,0,3,76,50,100,1,0,
2025-11-19T08:20:17.205754,390,35,0,107,60,50,78.3,0,3,40,50,100,1,0,
2025-11-19T08:20:17.877865,400,29,0,120,0,50,8892.0,0,3,43,50,100,1,0,
2025-11-19T08:20:18.564459,410,38,0,118,80,50,163.7,0,6,46,50,100,2,0,
2025-11-19T08:20:19.233518,420,24,0,49,0,50,89.0,0,8,40,20,50,3,0,
2025-11-19T08:20:19.915882,430,26,0,29,25,50,3597.7,0,10,40,25,50,4,0,
2025-11-19T08:20:20.599969,440,35,1,128,80,50,249.9,0,10,70,25,50,4,0,
2025-11-19T08:20:21.273658,450,24,0,125,0,50,73.3,0,10,40,19,50,4,0,
2025-11-19T08:20:21.944147,460,28,0,104,0,50,59.4,0,10,85,19,50,4,0,
2025-11-19T08:20:22.590818,470,36,64,159,0,50,4054.5,0,12,67,21,50,5,0,
