timestamp,frame_number,overall_score,arm_score,arm_angle,hand_position_score,depth_score,depth_cm,rate_score,rate_cpm,recoil_score,compression_ratio,ratio_score,compression_count,fatigue_level,feedback_given
2025-12-02T19:30:56.264509,70,20,0,23,0,0,0,0,0,100,50,100,0,0,
2025-12-02T19:30:56.932765,80,24,30,147,0,0,0,0,0,100,50,100,0,0,
2025-12-02T19:30:57.646455,90,44,63,159,0,50,54.5,0,0,100,50,100,1,0,
2025-12-02T19:30:58.922940,110,26,13,136,0,50,64.3,0,0,40,24,50,3,0,
2025-12-02T19:30:59.560822,120,32,47,151,0,50,69.1,0,0,40,29,57,4,0,
2025-12-02T19:31:00.190581,130,40,100,169,0,50,1384.0,0,0,49,27,55,5,0,
2025-12-02T19:31:00.813817,140,34,65,160,0,50,404.6,0,0,40,28,56,6,0,
2025-12-02T19:31:01.445788,150,45,100,172,0,50,434.6,19.74393940711785,69,40,28,57,6,0,
2025-12-02T19:31:02.076544,160,45,100,169,0,50,636.2,15.964934953822969,62,58,23,50,6,0,
2025-12-02T19:31:02.731730,170,39,60,177,0,50,560.9,12.8283988182671,56,70,19,50,6,0,
2025-12-02T19:31:03.373899,180,38,57,179,0,50,377.8,10.315096152134135,51,67,12,50,6,0,
2025-12-02T19:31:04.029769,190,42,100,173,0,50,384.8,12.040070981718834,54,40,14,50,7,0,
2025-12-02T19:31:04.666441,200,41,100,172,0,50,277.7,9.994308768491962,50,40,13,50,7,0,Increase compression speed
2025-12-02T19:31:05.299779,210,37,57,179,0,50,861.8,8.239698530077007,46,61,12,50,7,0,
2025-12-02T19:31:05.928636,220,35,63,176,0,50,669.9,6.727615676662914,43,43,10,50,7,0,
2025-12-02T19:31:06.564779,230,35,55,180,0,50,371.1,8.298117589475059,47,43,11,50,8,0,
2025-12-02T19:31:07.208542,240,41,100,174,0,50,265.9,9.742422389659744,49,40,13,50,8,0,
2025-12-02T19:31:07.851794,250,37,57,179,0,50,172.1,9.899106637135997,50,55,14,50,8,0,
2025-12-02T19:31:08.486566,260,42,100,165,0,50,106.2,10.0950847204358,50,46,14,50,8,0,
2025-12-02T19:31:09.146438,270,43,100,175,0,50,496.2,10.037514873465824,50,55,12,50,8,0,
2025-12-02T19:31:09.775502,280,36,63,176,0,50,53.6,10.039330933971037,50,40,11,50,8,0,
2025-12-02T19:31:10.416846,290,41,100,167,0,50,32.8,9.995528837144313,50,40,10,50,8,0,
2025-12-02T19:31:11.048688,300,42,100,168,0,50,29.3,10.157408846740765,50,46,9,50,8,0,Increase compression speed
2025-12-02T19:31:11.674212,310,35,0,5,0,79,9.7,10.172522408212824,50,40,6,50,8,0,
2025-12-02T19:31:12.302231,320,42,100,175,0,50,1084.1,12.792979471822939,56,40,6,50,9,0,
2025-12-02T19:31:12.923730,330,36,57,179,0,50,246.3,12.89291078858793,56,40,6,50,9,0,
2025-12-02T19:31:13.547677,340,43,100,166,0,50,46.2,12.219141689353648,54,46,6,50,9,0,
2025-12-02T19:31:14.164712,350,28,0,49,0,50,860.5,11.997379628837848,54,52,6,50,9,0,
2025-12-02T19:31:14.783501,360,28,0,35,0,50,61.9,15.024030368315326,60,40,7,50,10,0,
2025-12-02T19:31:15.420711,370,45,100,171,14,50,54.6,17.41300014572873,65,40,8,50,11,0,
2025-12-02T19:31:16.074443,380,38,60,178,0,50,452.2,19.6104967020135,69,40,11,50,12,0,
2025-12-02T19:31:19.834288,440,41,64,160,0,50,693.3,16.374744511040408,63,76,18,50,13,0,
2025-12-02T19:31:20.443566,450,39,53,154,0,50,541.1,16.46166769257897,63,73,19,50,13,0,
2025-12-02T19:31:21.051088,460,41,56,156,0,50,2019.4,16.04225048372973,62,82,20,50,13,0,
2025-12-02T19:31:21.695524,470,44,100,170,0,50,1046.4,18.472588015649656,67,43,18,50,14,0,
2025-12-02T19:31:22.353852,480,39,64,160,0,50,12109.6,20.775755326354336,72,40,18,50,15,0,
2025-12-02T19:31:22.965440,490,34,30,147,0,50,429.9,20.858303453896248,72,40,18,50,15,0,
2025-12-02T19:31:23.599601,500,38,53,154,0,50,351.3,23.244230158140375,76,40,26,52,16,0,Increase compression speed
2025-12-02T19:31:24.214183,510,43,32,149,0,50,707.9,50,81,40,34,68,17,0,
2025-12-02T19:31:24.844768,520,53,100,162,0,50,371.0,50,82,40,33,66,17,0,
2025-12-02T19:31:25.452812,530,46,50,152,0,50,384.0,50,82,43,34,67,17,0,
